lottery_type,window,combination_size,strategy_ids,ticket_budget_m,rows_per_draw,ticket_budget_ratio_vs_min,ticket_budget_ratio_vs_median,sample_size_rows,cross_strategy_ticket_pair_count,any_number_overlap_pair_rate,mean_number_overlap_fraction,random_pair_overlap_fraction,exact_duplicate_ticket_pair_rate,delta_vs_max_constituent_hit1_rate,delta_vs_max_constituent_hit2_rate,delta_vs_max_constituent_hit3_rate,budget_inflation_flag,high_overlap_vs_random_flag
BIG_LOTTO,recent_750,2,biglotto_echo_aware_3bet|coldpool15_biglotto,4,4.000000,4.000000,1.333333,3000,2250,0.469333333333,0.132296296296,0.122448979592,0.000000000000,0.024000000000,0.100000000000,0.016000000000,Y,Y
BIG_LOTTO,recent_50,2,biglotto_echo_aware_3bet|fourier30_markov30_biglotto,4,4.000000,4.000000,1.333333,200,150,0.346666666667,0.204444444444,0.122448979592,0.006666666667,0.000000000000,0.040000000000,0.000000000000,Y,Y
BIG_LOTTO,recent_300,2,biglotto_echo_aware_3bet|fourier30_markov30_biglotto,4,4.000000,4.000000,1.333333,1200,900,0.343333333333,0.207222222222,0.122448979592,0.015555555556,0.026666666667,0.053333333333,0.010000000000,Y,Y
BIG_LOTTO,recent_750,2,biglotto_echo_aware_3bet|fourier30_markov30_biglotto,4,4.000000,4.000000,1.333333,3000,2250,0.340888888889,0.206148148148,0.122448979592,0.012000000000,0.017333333333,0.048000000000,0.010666666667,Y,Y
BIG_LOTTO,recent_50,2,biglotto_echo_aware_3bet|markov_2bet_biglotto,4,4.000000,4.000000,1.333333,200,150,0.500000000000,0.118888888889,0.122448979592,0.000000000000,0.020000000000,0.100000000000,0.000000000000,Y,N
BIG_LOTTO,recent_300,2,biglotto_echo_aware_3bet|markov_2bet_biglotto,4,4.000000,4.000000,1.333333,1200,900,0.503333333333,0.124629629630,0.122448979592,0.000000000000,0.036666666667,0.090000000000,0.013333333334,Y,Y
BIG_LOTTO,recent_750,2,biglotto_echo_aware_3bet|markov_2bet_biglotto,4,4.000000,4.000000,1.333333,3000,2250,0.489333333333,0.120814814815,0.122448979592,0.000000000000,0.025333333333,0.080000000000,0.013333333334,Y,N
BIG_LOTTO,recent_50,2,biglotto_echo_aware_3bet|markov_single_biglotto,4,4.000000,4.000000,1.333333,200,150,0.500000000000,0.118888888889,0.122448979592,0.000000000000,0.020000000000,0.100000000000,0.000000000000,Y,N
BIG_LOTTO,recent_300,2,biglotto_echo_aware_3bet|markov_single_biglotto,4,4.000000,4.000000,1.333333,1200,900,0.503333333333,0.124629629630,0.122448979592,0.000000000000,0.036666666667,0.090000000000,0.013333333334,Y,Y
BIG_LOTTO,recent_750,2,biglotto_echo_aware_3bet|markov_single_biglotto,4,4.000000,4.000000,1.333333,3000,2250,0.489333333333,0.120814814815,0.122448979592,0.000000000000,0.025333333333,0.080000000000,0.013333333334,Y,N
